Node_ID,Centroide,UF
16909,Santo Expedito do Sul,RS
16910,Lagoa Vermelha,RS
16911,Capão Bonito do Sul,RS
16912,Tupanci do Sul,RS
16913,Maximiliano de Almeida,RS
16914,Paim Filho,RS
16915,Cacique Doble,RS
16916,Machadinho,RS
16917,Alto Bela Vista,SC
16918,Ipira,SC
16919,Peritiba,SC
16920,Piratuba,SC
16921,São José do Ouro,RS
16922,Barracão,RS
16923,Zortéa,SC
16924,Ouro,SC
16925,Capinzal,SC
16926,Erval Velho,SC
16927,Farroupilha,RS
16928,Caxias do Sul,RS
16929,Nova Pádua,RS
16930,Antônio Prado,RS
16931,Flores da Cunha,RS
16932,São Marcos,RS
16933,Ipê,RS
16934,Muitos Capões,RS
16935,Campestre da Serra,RS
16936,Vacaria,RS
16937,Canela,RS
16938,Jaquirana,RS
16939,Monte Alegre dos Campos,RS
16940,Bom Jesus,RS
16941,Esmeralda,RS
16942,Pinhal da Serra,RS
16943,Cerro Negro,SC
16944,Celso Ramos,SC
16945,Anita Garibaldi,SC
16946,Campos Novos,SC
16947,Abdon Batista,SC
16948,Vargem,SC
16949,Brunópolis,SC
16950,Campo Belo do Sul,SC
16951,Capão Alto,SC
16952,São José do Cerrito,SC
16953,Correia Pinto,SC
16954,Curitibanos,SC
16955,Ponte Alta,SC
16956,São Cristovão do Sul,SC
16957,Seara,SC
16958,Xavantina,SC
16959,Xanxerê,SC
16960,Faxinal dos Guedes,SC
16961,Arabutã,SC
16962,Ipumirim,SC
16963,Lindóia do Sul,SC
16964,Concórdia,SC
16965,Vargeão,SC
16966,Passos Maia,SC
16967,Ponte Serrada,SC
16968,Bom Jesus,SC
16969,Ouro Verde,SC
16970,Abelardo Luz,SC
16971,Clevelândia,PR
16972,Palmas,PR
16973,Coronel Domingos Soares,PR
16974,Presidente Castelo Branco,SC
16975,Irani,SC
16976,Jaborá,SC
16977,Vargem Bonita,SC
16978,Catanduvas,SC
16979,Lacerdópolis,SC
16980,Joaçaba,SC
16981,Herval d'Oeste,SC
16982,Luzerna,SC
16983,Treze Tílias,SC
16984,Água Doce,SC
16985,Salto Veloso,SC
16986,Honório Serpa,PR
16987,Mangueirinha,PR
16988,Reserva do Iguaçu,PR
16989,Porto Barreiro,PR
16990,Laranjeiras do Sul,PR
16991,Virmond,PR
16992,Foz do Jordão,PR
16993,Candói,PR
16994,Cantagalo,PR
16995,Goioxim,PR
16996,Pinhão,PR
16997,Bituruna,PR
16998,Guarapuava,PR
16999,Ibicaré,SC
17000,Ibiam,SC
17001,Tangará,SC
17002,Pinheiro Preto,SC
17003,Iomerê,SC
17004,Videira,SC
17005,Arroio Trinta,SC
17006,Macieira,SC
17007,Monte Carlo,SC
17008,Fraiburgo,SC
17009,Rio das Antas,SC
17010,Caçador,SC
17011,General Carneiro,PR
17012,Matos Costa,SC
17013,Calmon,SC
17014,União da Vitória,PR
17015,Porto União,SC
17016,Frei Rogério,SC
17017,Lebon Régis,SC
17018,Ponte Alta do Norte,SC
17019,Santa Cecília,SC
17020,Timbó Grande,SC
17021,Irineópolis,SC
17022,Bela Vista do Toldo,SC
17023,Cruz Machado,PR
17024,Porto Vitória,PR
17025,Paula Freitas,PR
17026,Inácio Martins,PR
17027,Prudentópolis,PR
17028,Paulo Frontin,PR
17029,Mallet,PR
17030,Rio Azul,PR
17031,Canoinhas,SC
17032,São Mateus do Sul,PR
17033,Rebouças,PR
17034,Irati,PR
17035,Guamiranga,PR
17036,Imbituva,PR
17037,Fernandes Pinheiro,PR
17038,Teixeira Soares,PR
17039,Porto Murtinho,MS
17040,Caracol,MS
17041,Paranhos,MS
17042,Coronel Sapucaia,MS
17043,Amambaí,MS
17044,Sete Quedas,MS
17045,Tacuru,MS
17046,Iguatemi,MS
17047,Bela Vista,MS
17048,Aral Moreira,MS
17049,Antônio João,MS
17050,Ponta Porã,MS
17051,Bonito,MS
17052,Jardim,MS
17053,Guia Lopes da Laguna,MS
17054,Nioaque,MS
17055,Laguna Carapã,MS
17056,Caarapó,MS
17057,Juti,MS
17058,Dourados,MS
17059,Itaporã,MS
17060,Douradina,MS
17061,Maracaju,MS
17062,Rio Brilhante,MS
17063,Bodoquena,MS
17064,Corumbá,MS
17065,Ladário,MS
17066,Miranda,MS
17067,Anastácio,MS
17068,Aquidauana,MS
17069,Dois Irmãos do Buriti,MS
17070,Sidrolândia,MS
17071,Terenos,MS
17072,Rochedo,MS
17073,Campo Grande,MS
17074,Corguinho,MS
17075,Rio Negro,MS
